"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bits"
"com.trout.cg.bench.ClassGroupBenchmark.composeNucomp","avgt",1,16,24.928891,0.298475,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.composeNucomp","avgt",1,16,59.650353,2.044710,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.composeNucomp","avgt",1,16,158.784793,2.542363,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.composeNucomp","avgt",1,16,312.329444,9.534671,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.composeSchoolbook","avgt",1,16,31.129517,0.828565,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.composeSchoolbook","avgt",1,16,78.701142,1.568933,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.composeSchoolbook","avgt",1,16,237.235518,4.085628,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.composeSchoolbook","avgt",1,16,488.539749,7.166734,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.expBinary","avgt",1,16,11439.551727,123.706397,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.expBinary","avgt",1,16,29682.050317,516.809845,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.expBinary","avgt",1,16,91561.103822,802.766739,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.expBinary","avgt",1,16,187575.993490,2068.313766,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.expWindowed","avgt",1,16,9242.797129,79.879343,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.expWindowed","avgt",1,16,23159.177495,374.676099,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.expWindowed","avgt",1,16,73500.477866,533.628098,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.expWindowed","avgt",1,16,152850.857143,979.029708,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.expWnaf","avgt",1,16,9054.819650,135.745481,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.expWnaf","avgt",1,16,24022.530161,286.542753,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.expWnaf","avgt",1,16,72507.656815,913.596289,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.expWnaf","avgt",1,16,153415.887277,1684.725290,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.squareNudupl","avgt",1,16,30.884769,0.977243,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.squareNudupl","avgt",1,16,80.095900,3.305687,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.squareNudupl","avgt",1,16,238.723099,2.625011,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.squareNudupl","avgt",1,16,493.295470,9.051927,"us/op",3072
"com.trout.cg.bench.ClassGroupBenchmark.squareSchoolbook","avgt",1,16,30.089872,1.712559,"us/op",512
"com.trout.cg.bench.ClassGroupBenchmark.squareSchoolbook","avgt",1,16,76.953762,0.464916,"us/op",1024
"com.trout.cg.bench.ClassGroupBenchmark.squareSchoolbook","avgt",1,16,234.712310,2.193241,"us/op",2048
"com.trout.cg.bench.ClassGroupBenchmark.squareSchoolbook","avgt",1,16,495.657968,3.521051,"us/op",3072
